SNO,School,Portfolio,Full Name,Mobile,Email,user,date
1,1,DEAN,x,x,x@x.com,admin,0
2,1,HOD,x,x,x@x.com,admin,0
3,2,DEAN,x,x,x@x.com,admin,0
4,2,HOD,x,x,x@x.com,admin,0
5,3,DEAN,x,x,x@x.com,admin,0
6,3,HOD,x,x,x@x.com,admin,0
7,4,DEAN,x,x,x@x.com,admin,0
8,4,HOD,x,x,x@x.com,admin,0
9,5,DEAN,x,x,x@x.com,admin,0
10,5,HOD,x,x,x@x.com,admin,0
11,6,DEAN,x,x,x@x.com,admin,0
12,6,HOD,x,x,x@x.com,admin,0
13,7,DEAN,x,x,x@x.com,admin,0
14,7,HOD,x,x,x@x.com,admin,0
15,8,DEAN,x,x,x@x.com,admin,0
16,8,HOD,x,x,x@x.com,admin,0
17,9,DEAN,x,x,x@x.com,admin,0
18,9,HOD,x,x,x@x.com,admin,0
